method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction,eval_mode
mdc_tf_optimized,7,0.0,17,0.0,0.0,0.25,exchangeable_null
mdc_tf_optimized,7,0.229,17,0.015494174427397344,0.14,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.3163,17,0.016554605064798226,0.18,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.3936,17,0.02851905930491079,0.48,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.4785,17,0.05633642292415858,0.74,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.5951,17,0.06808443740403392,0.84,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7796,17,0.1084750030901198,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.808,17,0.10475891468792592,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.831,17,0.12437678546645943,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.8541,17,0.12072380037304546,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.9568,17,0.17555023154082638,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,1.0,17,0.17400636569374167,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.0,17,0.0,0.04,0.25,exchangeable_null
mdc_tf_optimized,10,0.1023,17,0.0013522358421331948,0.08,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.2046,17,0.0038974271903886464,0.12,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.2515,17,0.00558299323203152,0.16,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.3491,17,0.014528775734992302,0.22,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.6556,17,0.04047222247675743,0.62,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7139,17,0.05320915403804815,0.78,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7723,17,0.05505389434552951,0.92,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8097,17,0.051019538712581004,0.86,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8409,17,0.06384666090660636,0.94,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.9036,17,0.06419274302729559,0.94,0.25,labeled_bootstrap
mdc_tf_optimized,10,1.0,17,0.09159034179285343,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.0,17,0.0,0.02,0.25,exchangeable_null
mdc_tf_optimized,17,0.1432,17,0.0025301506563743512,0.08,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.2655,17,0.007711263277375784,0.08,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.4086,17,0.017001393108206392,0.28,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.6088,17,0.03679855370102305,0.52,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.6558,17,0.039549621419128086,0.72,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.7028,17,0.04467388048706636,0.64,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.7288,17,0.03829452184659536,0.64,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.7479,17,0.050373116104004634,0.78,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.767,17,0.046200641117252375,0.66,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.7909,17,0.05995977381483784,0.9,0.25,labeled_bootstrap
mdc_tf_optimized,17,1.0,17,0.0827047618478755,1.0,0.25,labeled_bootstrap
