pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
4,real,0.0,6.728348794708045e-05,0.0,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.16629839504241456,0.002629449443088952,0.0,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.1767733306829111,0.001140312005504467,0.0,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.29735689212583594,0.005124672030465004,0.25,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.30259435994608425,0.00603680027186958,0.16666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3078318277663325,0.006848150338006565,0.08333333333333333,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.31306929558658075,0.009892174933925997,0.25,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3405829185286084,0.008095122671031504,0.25,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3440745637421072,0.008319826428527827,0.25,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3475662089556061,0.008303003858501976,0.16666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3510578541691049,0.008554565488489114,0.4166666666666667,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3545494993826037,0.008890533102785344,0.5,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3580411445961026,0.007195727226701538,0.3333333333333333,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.3615327898096014,0.007359888123767256,0.3333333333333333,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.5481057390859383,0.022931632888519463,0.5833333333333334,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.5585806747264349,0.021718103088901222,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.566416576193938,0.020807975965457807,0.75,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.5716540440141863,0.020374283589474584,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.5768915118344347,0.022076865424622057,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.5821289796546829,0.023207897852338046,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.6320270257871256,0.025196538352337858,0.5,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.6372644936073738,0.02636239751485783,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.642501961427622,0.026142652737912473,0.6666666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.6477394292478702,0.027055967102802135,0.9166666666666666,dilution,3,0.5162244563696047,0.06445329184242843
4,real,0.9210621685185,0.06076940166174172,1.0,dilution,3,0.5162244563696047,0.06445329184242843
7,real,0.0,0.0,0.0,dilution,3,0.8730111743138674,0.36430365248134544
7,real,0.005433860197489405,0.0,0.0,dilution,3,0.8730111743138674,0.36430365248134544
7,real,0.007558005547417083,0.00032515377825236393,0.0,dilution,3,0.8730111743138674,0.36430365248134544
7,real,0.06464647010710123,0.002278163939713589,0.0,dilution,3,0.8730111743138674,0.36430365248134544
7,real,0.06889476080695658,0.002911163343751651,0.16666666666666666,dilution,3,0.8730111743138674,0.36430365248134544
