pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
4,real,0.0,0.0,0.05,dilution,3,0.228876085354998,0.009299019747344898
4,real,0.452421173388061,0.0018895924515568265,0.0625,dilution,3,0.228876085354998,0.009299019747344898
4,real,1.793323841592711,0.02265180260603468,0.1625,enhancement,3,0.228876085354998,0.009299019747344898
4,real,1.9370805047274053,0.03626799696769582,0.225,enhancement,3,0.228876085354998,0.009299019747344898
4,real,2.0081326485755877,0.040710309658041566,0.3,enhancement,3,0.228876085354998,0.009299019747344898
4,real,2.110579925752037,0.043356882095582305,0.2375,enhancement,3,0.228876085354998,0.009299019747344898
4,real,3.129269383482371,0.0916281787879767,0.55,enhancement,3,0.228876085354998,0.009299019747344898
4,real,3.3424258150269184,0.08600319453195984,0.475,enhancement,3,0.228876085354998,0.009299019747344898
4,real,3.4539611571141813,0.10838377002752446,0.5875,enhancement,3,0.228876085354998,0.009299019747344898
4,real,4.181419443838885,0.14373443905429492,0.6125,enhancement,3,0.228876085354998,0.009299019747344898
4,real,4.2347085517250225,0.11943918630556126,0.6,enhancement,3,0.228876085354998,0.009299019747344898
4,real,4.287997659611159,0.16235668337131595,0.7125,enhancement,3,0.228876085354998,0.009299019747344898
4,real,4.9931488779184106,0.19618207559526155,0.8,enhancement,3,0.228876085354998,0.009299019747344898
4,real,5.064201021766593,0.21318641133877736,0.9125,enhancement,3,0.228876085354998,0.009299019747344898
4,real,5.96226707249885,0.23074636389160755,0.9,enhancement,3,0.228876085354998,0.009299019747344898
4,real,6.7355787776372065,0.2936359139328039,0.9625,enhancement,3,0.228876085354998,0.009299019747344898
7,real,0.0,0.0,0.025,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.12584505465984797,0.008390453860799986,0.05,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.13098157684201311,0.008691695617538672,0.075,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.13611809902417824,0.013383977473910912,0.1125,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.34101157979066055,0.05589755278707423,0.2625,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.35290720771253525,0.07109423855226155,0.25,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.3614680780161438,0.06582511320582782,0.35,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.3700289483197523,0.07226471424762773,0.275,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.46031626652176344,0.12424459184397804,0.6,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.5091430907533913,0.16867929380280852,0.7625,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.5155637434810977,0.13099631302987194,0.7,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.5219843962088041,0.14829073849745872,0.675,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.5364681942224674,0.14073299787765123,0.725,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.562150805133293,0.1698637445676414,0.8,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.7431236215514366,0.27038297342225776,0.9625,dilution,3,0.8769301296546389,0.38394341358551176
7,real,0.8751202962326569,0.3453897492021877,1.0,dilution,3,0.8769301296546389,0.38394341358551176
10,real,0.0,0.0007655357167697854,0.075,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.11454901609567976,0.00979043849630821,0.1,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.22417032773851267,0.0274661299703976,0.15,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.23130691577884852,0.023399425456866962,0.125,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.23844350381918433,0.024490952944354227,0.1,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.4413383614775692,0.07109762118566551,0.3,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.45561153755824085,0.09440993089433358,0.4875,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.4800087106263657,0.11655623703169839,0.6,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.49494575536195234,0.10966958778742958,0.5875,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.5371014149490523,0.13446823254127943,0.5875,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.5656477671103957,0.13944283845926717,0.675,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.699583268239489,0.1773033293688129,0.85,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.7138564443201607,0.20485663595544704,0.825,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.7249762442899863,0.2276196353709876,0.975,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.7344916950104341,0.20896223190731766,0.9,dilution,3,0.9039657486912238,0.3302870262789276
10,real,0.9560025362003928,0.2975633956120038,0.975,dilution,3,0.9039657486912238,0.3302870262789276
